parameter,val,err,source
resolution,2200,,design
f_col,200,,design
f_cam,70,,design
fratio_col,4,,design
fratio_cam,1.28,,design
blade_obscure,0.9,,design
d_beam,50,,design
fiber_theta,0.75,,design
fiber_core_d,110,,design
fiber_frd,0.05,,design
microlens_thru,ECI_FusedSilica.txt,,estimate
fiber_ar_thru,fiber_ar.txt,,estimate
fiber_internal_thru,Polymicro_FBPI_8m.txt,,model
collimator_thru,dielectric_mirror.txt,,model
sl_thru,ECI_FusedSilica.txt,,estimate
bg_thru,ECI_FusedSilica.txt,,estimate
red_vph,wasach_llamas2200_red.txt,,model
green_vph,wasach_llamas2200_green.txt,,model
blue_vph,wasach_llamas2200_blue.txt,,model
red_prism,ECI_FusedSilica.txt,,model
green_prism,ECI_FusedSilica.txt,,model
blue_prism,ECI_FusedSilica.txt,,model
l1_red_thru,ECI_FusedSilica.txt,,estimate
l2_red_thru,ECI_PBM8Y.txt,,estimate
l3_red_thru,ECI_FusedSilica.txt,,estimate
l4_red_thru,ECI_PBM8Y.txt,,estimate
l5_red_thru,ECI_FusedSilica.txt,,estimate
l6_red_thru,ECI_PBM8Y.txt,,estimate
l7_red_thru,ECI_PBM8Y.txt,,estimate
red_window_thru,ECI_FusedSilica.txt,,estimate
l1_green_thru,ECI_FusedSilica.txt,,estimate
l2_green_thru,ECI_PBM8Y.txt,,estimate
l3_green_thru,ECI_FusedSilica.txt,,estimate
l4_green_thru,ECI_PBM8Y.txt,,estimate
l5_green_thru,ECI_FusedSilica.txt,,estimate
l6_green_thru,ECI_PBM8Y.txt,,estimate
l7_green_thru,ECI_PBM8Y.txt,,estimate
green_window_thru,ECI_FusedSilica.txt,,estimate
l1_blue_thru,ECI_FusedSilica.txt,,estimate
l2_blue_thru,ECI_PBM8Y.txt,,estimate
l3_blue_thru,ECI_FusedSilica.txt,,estimate
l4_blue_thru,ECI_PBM8Y.txt,,estimate
l5_blue_thru,ECI_FusedSilica.txt,,estimate
l6_blue_thru,ECI_PBM8Y.txt,,estimate
l7_blue_thru,ECI_PBM8Y.txt,,estimate
blue_window_thru,ECI_FusedSilica.txt,,estimate
red_internal_thru,,,design
green_internal_thru,,,design
blue_internal_thru,,,design
red_rn,3,,design
red_dc,0.001,,design
green_rn,2.5,,design
green_dc,0.001,,design
blue_rn,2.6,,design
blue_dc,0.001,,design
skyfile,eso_newmoon_radiance.txt,,model
